PhysicalDataID,SurfaceIRR,Depth1,SubSurfaceIRR1,Depth2,SubSurfaceIRR2,Depth3,SubSurfaceIRR3,Depth4,SubSurfaceIRR4,FieldComments,Field1
1757,2210,0.08,1657.8,0.25,1145.4,0.44,562.4,1.33,21.75,,
1758,2000,0.05,1507,0.12,999,0.29,500.5,1.23,20.2,,
1759,2130,0.03,1574.6,0.09,1052.6,0.62,536.1,2.48,45.42,,
1760,2410,0.08,1891.8,0.25,1254.9,0.99,610.6,2.48,88.83,,
1761,2480,0.05,1874.4,0.2,1247.1,1.17,627.6,2.48,184.46,,
1762,2455,0.03,1840.2,0.17,1213.5,1.15,614.4,2.48,177.21,,
1763,2179,0.06,1629,0.3,1077,0.71,544,2.48,87.9,,
1764,2263,0.08,1652,0.15,1144,0.41,551.5,1.39,29.34,,
1765,2317,0.05,1749.5,0.2,1160.2,0.56,574.3,1.97,23.35,,
1766,2477,0.05,1864,0.16,1235.6,0.88,619.5,2.5,91.4,Depth 4 was end of pole.,
1767,2525,0.03,1849.7,0.09,1296.6,0.85,618.9,2.5,188.67,End of pole.,
1768,2481,0.01,1791,0.06,1345.7,0.77,619.2,2.5,191.56,Full length of pole.,
1769,2291,0.04,1777,0.13,1143.1,0.85,571.1,2.5,31.4,Full length of pole.,
1770,2272,0.04,1834,0.14,1137.7,0.47,562.1,2,22.95,,
1772,1834,0.04,1378,0.08,920,0.11,452,0.85,18.5,,
1774,1229.8,0.02,956,0.1,606,0.29,316,0.89,18.91,,
1776,1187.5,0.04,894.6,0.12,594.5,0.34,297,1.05,11.97,,
1777,3000,0.03,2203,0.08,1525,0.24,765.5,1.13,31.66,,
1778,2167,0.03,1653.3,0.11,1004.2,0.42,529,1.77,20.74,,
1779,1328.7,0.01,916.2,0.05,689.2,0.29,330.6,2.48,28.47,,
1780,1661.7,0.03,1246.4,0.07,836,1.21,415.4,2.48,82.31,,
1781,2678,0.05,2014,0.13,1334.2,0.83,679.3,2.48,101.35,,
1782,2487,0.06,1982.7,0.29,1183.6,0.81,685.7,2.48,176.92,End of light pole.,
1783,2388,0.08,1730,0.27,1191.6,0.91,593.5,2.48,144.66,,
1784,2013,0.04,1530.6,0.12,1014.7,1.09,504.9,2.48,130.01,,
1785,1966.2,0.04,1462.2,0.07,978.2,0.91,499.2,2.48,152.4,Depth4 = end of pole,
