"Station","Latitude","Longitude","Datetime","Notes","SampleCode","Chlorophyll","Pheophytin","DissAmmonia_Sign","DissAmmonia","DissCalcium","DissChloride","DissNitrateNitrite_Sign","DissNitrateNitrite","DOC","TOC","DON","DissOrthophos_Sign","DissOrthophos","TotPhos","DissSilica","TDS","TSS","VSS","TKN","Year","WY","Month","Flag_ChlaNuts"
"LIS",38.474816,-121.588584,2013-05-31 11:25:00,NA,"ESH0513B0105",25.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5","1"
"LIS",38.474816,-121.588584,2013-05-31 11:25:00,NA,"ESH0513B0105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5",NA
"LIS",38.474816,-121.588584,2013-05-31 11:25:00,NA,"ESH0513B0105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5",NA
"LIS",38.474816,-121.588584,2013-05-31 11:25:00,NA,"ESH0513B0105",NA,5.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"5",NA
"LIS",38.474816,-121.588584,2013-06-11 14:30:00,NA,"ESH0613B0117",30.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6","1"
"LIS",38.474816,-121.588584,2013-06-11 14:30:00,NA,"ESH0613B0117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6",NA
"LIS",38.474816,-121.588584,2013-06-11 14:30:00,NA,"ESH0613B0117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6",NA
"LIS",38.474816,-121.588584,2013-06-11 14:30:00,NA,"ESH0613B0117",NA,10.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6","1"
"LIS",38.474816,-121.588584,2013-06-25 16:10:00,NA,"ESH0613B0131",10.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6","1"
"LIS",38.474816,-121.588584,2013-06-25 16:10:00,NA,"ESH0613B0131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6",NA
"LIS",38.474816,-121.588584,2013-06-25 16:10:00,NA,"ESH0613B0131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6",NA
"LIS",38.474816,-121.588584,2013-06-25 16:10:00,NA,"ESH0613B0131",NA,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"6",NA
"LIS",38.474816,-121.588584,2013-07-11 12:50:00,NA,"ESH0713B0138",23.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7","1"
"LIS",38.474816,-121.588584,2013-07-11 12:50:00,NA,"ESH0713B0138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-11 12:50:00,NA,"ESH0713B0138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-11 12:50:00,NA,"ESH0713B0138",NA,7.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-25 10:40:00,NA,"ESH0713B0166",16.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7","1"
"LIS",38.474816,-121.588584,2013-07-25 10:40:00,NA,"ESH0713B0166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-25 10:40:00,NA,"ESH0713B0166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-25 10:40:00,NA,"ESH0713B0166",NA,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",14.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7","1"
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,"<",0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,NA,NA,NA,NA,"=",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"=",0.13,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
"LIS",38.474816,-121.588584,2013-07-31 14:15:00,NA,"EA0713B1258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,2013,"7",NA
